Year,Disease,Number of reported cases,"Rate per 100,000"
1924,Amoebiasis,,
1925,Amoebiasis,,
1926,Amoebiasis,,
1927,Amoebiasis,4,0.27
1928,Amoebiasis,,
1929,Amoebiasis,,
1930,Amoebiasis,15,2.22
1931,Amoebiasis,0,0
1932,Amoebiasis,0,0
1933,Amoebiasis,3,0.05
1934,Amoebiasis,10,0.11
1935,Amoebiasis,0,0
1936,Amoebiasis,4,0.05
1937,Amoebiasis,2,0.03
1938,Amoebiasis,0,0
1939,Amoebiasis,6,0.06
1940,Amoebiasis,2,0.02
1941,Amoebiasis,22,0.2
1942,Amoebiasis,1,0.01
1943,Amoebiasis,12,0.15
1944,Amoebiasis,0,0
1945,Amoebiasis,13,0.16
1946,Amoebiasis,88,1.09
1947,Amoebiasis,100,1.21
1948,Amoebiasis,40,0.33
1949,Amoebiasis,17,0.14
1950,Amoebiasis,11,0.09
1951,Amoebiasis,38,0.28
1952,Amoebiasis,19,0.14
1953,Amoebiasis,32,0.22
1954,Amoebiasis,5,0.05
1955,Amoebiasis,3,0.03
1956,Amoebiasis,2,0.02
1957,Amoebiasis,6,0.04
1958,Amoebiasis,10,0.06
1959,Amoebiasis,2,0.01
1960,Amoebiasis,4,0.02
1961,Amoebiasis,9,0.05
1962,Amoebiasis,6,0.03
1963,Amoebiasis,11,0.06
1964,Amoebiasis,50,0.26
1965,Amoebiasis,51,0.26
1966,Amoebiasis,47,0.23
1967,Amoebiasis,43,0.21
1968,Amoebiasis,24,0.12
1969,Amoebiasis,73,0.35
1970,Amoebiasis,118,0.56
1971,Amoebiasis,134,0.61
1972,Amoebiasis,253,1.14
1973,Amoebiasis,491,2.18
1974,Amoebiasis,584,2.56
1975,Amoebiasis,650,2.81
1976,Amoebiasis,870,3.71
1977,Amoebiasis,778,3.28
1978,Amoebiasis,819,3.42
1979,Amoebiasis,17,0.07
1980,Amoebiasis,0,0
1981,Amoebiasis,0,0
1982,Amoebiasis,0,0
1983,Amoebiasis,1332,5.25
1984,Amoebiasis,1489,5.81
1985,Amoebiasis,1676,6.49
1986,Amoebiasis,1579,6.05
1987,Amoebiasis,1879,7.1
1988,Amoebiasis,1989,7.42
1989,Amoebiasis,2335,8.56
1990,Amoebiasis,1944,7.02
1991,Amoebiasis,1770,6.31
1992,Amoebiasis,1621,5.71
1993,Amoebiasis,1735,6.05
1994,Amoebiasis,1697,5.85
1995,Amoebiasis,1610,5.49
1996,Amoebiasis,1642,5.55
1997,Amoebiasis,1772,5.93
1998,Amoebiasis,1575,5.22
1999,Amoebiasis,1364,4.49
2000,Amoebiasis,,
2001,Amoebiasis,,
2002,Amoebiasis,,
2003,Amoebiasis,,
2004,Amoebiasis,,
2005,Amoebiasis,,
2006,Amoebiasis,,
2007,Amoebiasis,,
2008,Amoebiasis,,
2009,Amoebiasis,,
2010,Amoebiasis,,
2011,Amoebiasis,,
2012,Amoebiasis,,
2013,Amoebiasis,,
2014,Amoebiasis,,
2015,Amoebiasis,,
2016,Amoebiasis,,
2017,Amoebiasis,,
2018,Amoebiasis,,
2019,Amoebiasis,,
2020,Amoebiasis,,
2021,Amoebiasis,,
1924,Anthrax,,
1925,Anthrax,,
1926,Anthrax,,
1927,Anthrax,,
1928,Anthrax,,
1929,Anthrax,,
1930,Anthrax,,
1931,Anthrax,2,0.02
1932,Anthrax,0,0
1933,Anthrax,2,0.02
1934,Anthrax,0,0
1935,Anthrax,0,0
1936,Anthrax,6,0.06
1937,Anthrax,1,0.01
1938,Anthrax,1,0.01
1939,Anthrax,0,0
1940,Anthrax,0,0
1941,Anthrax,1,0.01
1942,Anthrax,2,0.02
1943,Anthrax,2,0.02
1944,Anthrax,0,0
1945,Anthrax,0,0
1946,Anthrax,2,0.02
1947,Anthrax,0,0
1948,Anthrax,2,0.02
1949,Anthrax,0,0
1950,Anthrax,0,0
1951,Anthrax,0,0
1952,Anthrax,0,0
1953,Anthrax,0,0
1954,Anthrax,0,0
1955,Anthrax,0,0
1956,Anthrax,0,0
1957,Anthrax,0,0
1958,Anthrax,1,0.01
1959,Anthrax,0,0
1960,Anthrax,0,0
1961,Anthrax,8,0.05
1962,Anthrax,0,0
1963,Anthrax,0,0
1964,Anthrax,0,0
1965,Anthrax,0,0
1966,Anthrax,0,0
1967,Anthrax,0,0
1968,Anthrax,0,0
1969,Anthrax,0,0
1970,Anthrax,0,0
1971,Anthrax,0,0
1972,Anthrax,0,0
1973,Anthrax,0,0
1974,Anthrax,0,0
1975,Anthrax,0,0
1976,Anthrax,0,0
1977,Anthrax,0,0
1978,Anthrax,0,0
1979,Anthrax,0,0
1980,Anthrax,0,0
1981,Anthrax,0,0
1982,Anthrax,0,0
1983,Anthrax,,
1984,Anthrax,,
1985,Anthrax,,
1986,Anthrax,,
1987,Anthrax,,
1988,Anthrax,,
1989,Anthrax,,
1990,Anthrax,,
1991,Anthrax,,
1992,Anthrax,,
1993,Anthrax,,
1994,Anthrax,,
1995,Anthrax,,
1996,Anthrax,,
1997,Anthrax,,
1998,Anthrax,,
1999,Anthrax,,
2000,Anthrax,,
2001,Anthrax,,
2002,Anthrax,0,0
2003,Anthrax,0,0
2004,Anthrax,0,0
2005,Anthrax,0,0
2006,Anthrax,1,0.003
2007,Anthrax,0,0
2008,Anthrax,0,0
2009,Anthrax,0,0
2010,Anthrax,0,0
2011,Anthrax,0,0
2012,Anthrax,0,0
2013,Anthrax,0,0
2014,Anthrax,0,0
2015,Anthrax,0,0
2016,Anthrax,0,0
2017,Anthrax,0,0
2018,Anthrax,0,0
2019,Anthrax,0,0
2020,Anthrax,0,0
2021,Anthrax,0,0
1924,Botulism,,
1925,Botulism,,
1926,Botulism,,
1927,Botulism,,
1928,Botulism,,
1929,Botulism,,
1930,Botulism,,
1931,Botulism,,
1932,Botulism,,
1933,Botulism,1,0.01
1934,Botulism,0,0
1935,Botulism,0,0
1936,Botulism,0,0
1937,Botulism,0,0
1938,Botulism,0,0
1939,Botulism,0,0
1940,Botulism,1,0.01
1941,Botulism,0,0
1942,Botulism,1,0.01
1943,Botulism,0,0
1944,Botulism,6,0.06
1945,Botulism,0,0
1946,Botulism,0,0
1947,Botulism,0,0
1948,Botulism,2,0.02
1949,Botulism,0,0
1950,Botulism,1,0.01
1951,Botulism,0,0
1952,Botulism,0,0
1953,Botulism,0,0
1954,Botulism,0,0
1955,Botulism,0,0
1956,Botulism,0,0
1957,Botulism,3,0.02
1958,Botulism,1,0.01
1959,Botulism,0,0
1960,Botulism,5,0.05
1961,Botulism,9,0.05
1962,Botulism,4,0.02
1963,Botulism,5,0.03
1964,Botulism,4,0.02
1965,Botulism,5,0.03
1966,Botulism,0,0
1967,Botulism,1,0.01
1968,Botulism,2,0.01
1969,Botulism,18,0.13
1970,Botulism,2,0.01
1971,Botulism,10,0.07
1972,Botulism,7,0.03
1973,Botulism,8,0.04
1974,Botulism,10,0.04
1975,Botulism,10,0.04
1976,Botulism,15,0.06
1977,Botulism,6,0.03
1978,Botulism,2,0.01
1979,Botulism,0,0
1980,Botulism,2,0.01
1981,Botulism,4,0.02
1982,Botulism,6,0.02
1983,Botulism,7,0.03
1984,Botulism,9,0.04
1985,Botulism,36,0.14
1986,Botulism,6,0.02
1987,Botulism,26,0.1
1988,Botulism,5,0.02
1989,Botulism,10,0.04
1990,Botulism,4,0.01
1991,Botulism,10,0.04
1992,Botulism,15,0.05
1993,Botulism,7,0.02
1994,Botulism,9,0.03
1995,Botulism,18,0.06
1996,Botulism,15,0.05
1997,Botulism,19,0.06
1998,Botulism,7,0.02
1999,Botulism,9,0.03
2000,Botulism,4,0.01
2001,Botulism,8,0.03
2002,Botulism,10,0.03
2003,Botulism,6,0.02
2004,Botulism,7,0.02
2005,Botulism,1,0.003
2006,Botulism,14,0.04
2007,Botulism,13,0.04
2008,Botulism,11,0.03
2009,Botulism,3,0.01
2010,Botulism,2,0.01
2011,Botulism,7,0.02
2012,Botulism,6,0.02
2013,Botulism,4,0.01
2014,Botulism,0,0
2015,Botulism,12,0.03
2016,Botulism,7,0.02
2017,Botulism,4,0.01
2018,Botulism,8,0.02
2019,Botulism,7,0.02
2020,Botulism,8,0.02
2021,Botulism,6,0.02
1924,Brucellosis,,
1925,Brucellosis,,
1926,Brucellosis,,
1927,Brucellosis,,
1928,Brucellosis,3,0.09
1929,Brucellosis,4,0.1
1930,Brucellosis,79,1.44
1931,Brucellosis,154,2.2
1932,Brucellosis,97,1.52
1933,Brucellosis,176,1.87
1934,Brucellosis,154,1.51
1935,Brucellosis,156,1.51
1936,Brucellosis,174,1.66
1937,Brucellosis,185,1.68
1938,Brucellosis,171,1.54
1939,Brucellosis,139,1.24
1940,Brucellosis,146,1.28
1941,Brucellosis,168,1.46
1942,Brucellosis,152,1.31
1943,Brucellosis,189,1.67
1944,Brucellosis,226,1.97
1945,Brucellosis,288,2.39
1946,Brucellosis,250,2.04
1947,Brucellosis,383,3.18
1948,Brucellosis,308,2.41
1949,Brucellosis,196,1.53
1950,Brucellosis,249,1.83
1951,Brucellosis,191,1.43
1952,Brucellosis,121,0.87
1953,Brucellosis,134,0.9
1954,Brucellosis,133,0.9
1955,Brucellosis,122,0.81
1956,Brucellosis,141,0.88
1957,Brucellosis,120,0.78
1958,Brucellosis,113,0.71
1959,Brucellosis,120,0.69
1960,Brucellosis,142,0.86
1961,Brucellosis,109,0.6
1962,Brucellosis,98,0.53
1963,Brucellosis,57,0.3
1964,Brucellosis,54,0.28
1965,Brucellosis,38,0.19
1966,Brucellosis,21,0.1
1967,Brucellosis,43,0.21
1968,Brucellosis,19,0.09
1969,Brucellosis,16,0.08
1970,Brucellosis,31,0.15
1971,Brucellosis,8,0.04
1972,Brucellosis,16,0.07
1973,Brucellosis,8,0.04
1974,Brucellosis,27,0.12
1975,Brucellosis,30,0.13
1976,Brucellosis,38,0.16
1977,Brucellosis,39,0.17
1978,Brucellosis,12,0.05
1979,Brucellosis,0,0
1980,Brucellosis,0,0
1981,Brucellosis,0,0
1982,Brucellosis,0,0
1983,Brucellosis,15,0.06
1984,Brucellosis,17,0.07
1985,Brucellosis,10,0.04
1986,Brucellosis,9,0.03
1987,Brucellosis,13,0.05
1988,Brucellosis,13,0.05
1989,Brucellosis,13,0.05
1990,Brucellosis,23,0.08
1991,Brucellosis,14,0.05
1992,Brucellosis,18,0.06
1993,Brucellosis,12,0.04
1994,Brucellosis,8,0.03
1995,Brucellosis,7,0.02
1996,Brucellosis,8,0.03
1997,Brucellosis,13,0.04
1998,Brucellosis,7,0.02
1999,Brucellosis,11,0.04
2000,Brucellosis,6,0.02
2001,Brucellosis,9,0.03
2002,Brucellosis,8,0.03
2003,Brucellosis,6,0.02
2004,Brucellosis,8,0.03
2005,Brucellosis,11,0.03
2006,Brucellosis,5,0.02
2007,Brucellosis,10,0.03
2008,Brucellosis,12,0.04
2009,Brucellosis,8,0.02
2010,Brucellosis,10,0.03
2011,Brucellosis,9,0.03
2012,Brucellosis,12,0.03
2013,Brucellosis,23,0.07
2014,Brucellosis,7,0.02
2015,Brucellosis,11,0.03
2016,Brucellosis,9,0.02
2017,Brucellosis,9,0.02
2018,Brucellosis,17,0.05
2019,Brucellosis,11,0.03
2020,Brucellosis,12,0.03
2021,Brucellosis,8,0.02
1924,Campylobacteriosis,,
1925,Campylobacteriosis,,
1926,Campylobacteriosis,,
1927,Campylobacteriosis,,
1928,Campylobacteriosis,,
1929,Campylobacteriosis,,
1930,Campylobacteriosis,,
1931,Campylobacteriosis,,
1932,Campylobacteriosis,,
1933,Campylobacteriosis,,
1934,Campylobacteriosis,,
1935,Campylobacteriosis,,
1936,Campylobacteriosis,,
1937,Campylobacteriosis,,
1938,Campylobacteriosis,,
1939,Campylobacteriosis,,
1940,Campylobacteriosis,,
1941,Campylobacteriosis,,
1942,Campylobacteriosis,,
1943,Campylobacteriosis,,
1944,Campylobacteriosis,,
1945,Campylobacteriosis,,
1946,Campylobacteriosis,,
1947,Campylobacteriosis,,
1948,Campylobacteriosis,,
1949,Campylobacteriosis,,
1950,Campylobacteriosis,,
1951,Campylobacteriosis,,
1952,Campylobacteriosis,,
1953,Campylobacteriosis,,
1954,Campylobacteriosis,,
1955,Campylobacteriosis,,
1956,Campylobacteriosis,,
1957,Campylobacteriosis,,
1958,Campylobacteriosis,,
1959,Campylobacteriosis,,
1960,Campylobacteriosis,,
1961,Campylobacteriosis,,
1962,Campylobacteriosis,,
1963,Campylobacteriosis,,
1964,Campylobacteriosis,,
1965,Campylobacteriosis,,
1966,Campylobacteriosis,,
1967,Campylobacteriosis,,
1968,Campylobacteriosis,,
1969,Campylobacteriosis,,
1970,Campylobacteriosis,,
1971,Campylobacteriosis,,
1972,Campylobacteriosis,,
1973,Campylobacteriosis,,
1974,Campylobacteriosis,,
1975,Campylobacteriosis,,
1976,Campylobacteriosis,,
1977,Campylobacteriosis,,
1978,Campylobacteriosis,,
1979,Campylobacteriosis,,
1980,Campylobacteriosis,,
1981,Campylobacteriosis,,
1982,Campylobacteriosis,,
1983,Campylobacteriosis,,
1984,Campylobacteriosis,,
1985,Campylobacteriosis,,
1986,Campylobacteriosis,10688,40.95
1987,Campylobacteriosis,11303,42.74
1988,Campylobacteriosis,12023,46.8
1989,Campylobacteriosis,16611,63.47
1990,Campylobacteriosis,15545,58.47
1991,Campylobacteriosis,11734,43.58
1992,Campylobacteriosis,12528,45.96
1993,Campylobacteriosis,13378,48.53
1994,Campylobacteriosis,15639,53.93
1995,Campylobacteriosis,13384,45.68
1996,Campylobacteriosis,12630,42.65
1997,Campylobacteriosis,13321,44.54
1998,Campylobacteriosis,14046,46.58
1999,Campylobacteriosis,11702,38.49
2000,Campylobacteriosis,12478,40.66
2001,Campylobacteriosis,11886,38.32
2002,Campylobacteriosis,11523,36.74
2003,Campylobacteriosis,10026,31.68
2004,Campylobacteriosis,9589,30.02
2005,Campylobacteriosis,9948,30.85
2006,Campylobacteriosis,9981,30.64
2007,Campylobacteriosis,9566,29.09
2008,Campylobacteriosis,9464,28.47
2009,Campylobacteriosis,8691,25.84
2010,Campylobacteriosis,9029,26.55
2011,Campylobacteriosis,9495,27.65
2012,Campylobacteriosis,10201,29.39
2013,Campylobacteriosis,10251,29.22
2014,Campylobacteriosis,10121,28.56
2015,Campylobacteriosis,9079,25.43
2016,Campylobacteriosis,9923,27.48
2017,Campylobacteriosis,10401,28.46
2018,Campylobacteriosis,10238,27.62
2019,Campylobacteriosis,10298,27.39
2020,Campylobacteriosis,7493,19.71
2021,Campylobacteriosis,7796,20.39
1924,Chickenpox,11000,121.61
1925,Chickenpox,9888,107.53
1926,Chickenpox,13042,139.46
1927,Chickenpox,13689,143.54
1928,Chickenpox,16094,165.34
1929,Chickenpox,17944,180.74
1930,Chickenpox,20356,199.67
1931,Chickenpox,19255,185.8
1932,Chickenpox,17891,170.46
1933,Chickenpox,23343,219.82
1934,Chickenpox,23462,218.72
1935,Chickenpox,27634,255.19
1936,Chickenpox,25436,232.63
1937,Chickenpox,24278,220.13
1938,Chickenpox,26978,242.26
1939,Chickenpox,25325,225.11
1940,Chickenpox,32758,288.26
1941,Chickenpox,27867,242.54
1942,Chickenpox,30914,265.65
1943,Chickenpox,30453,258.56
1944,Chickenpox,35496,297.56
1945,Chickenpox,31647,262.52
1946,Chickenpox,29107,237.26
1947,Chickenpox,32437,258.94
1948,Chickenpox,41764,326.31
1949,Chickenpox,45286,337.38
1950,Chickenpox,35602,260.1
1951,Chickenpox,46637,333.5
1952,Chickenpox,45887,317.91
1953,Chickenpox,47458,320.23
1954,Chickenpox,37745,247.35
1955,Chickenpox,33599,214.43
1956,Chickenpox,36499,253.75
1957,Chickenpox,32128,238.66
1958,Chickenpox,28793,207.94
1959,Chickenpox,,
1960,Chickenpox,,
1961,Chickenpox,,
1962,Chickenpox,,
1963,Chickenpox,,
1964,Chickenpox,,
1965,Chickenpox,,
1966,Chickenpox,,
1967,Chickenpox,,
1968,Chickenpox,,
1969,Chickenpox,,
1970,Chickenpox,,
1971,Chickenpox,,
1972,Chickenpox,,
1973,Chickenpox,,
1974,Chickenpox,,
1975,Chickenpox,,
1976,Chickenpox,,
1977,Chickenpox,,
1978,Chickenpox,,
1979,Chickenpox,,
1980,Chickenpox,,
1981,Chickenpox,,
1982,Chickenpox,,
1983,Chickenpox,,
1984,Chickenpox,,
1985,Chickenpox,,
1986,Chickenpox,51834,198.6
1987,Chickenpox,72343,273.54
1988,Chickenpox,53789,285.31
1989,Chickenpox,55740,289.59
1990,Chickenpox,19058,97.29
1991,Chickenpox,12773,135.46
1992,Chickenpox,20001,208.86
1993,Chickenpox,49779,295.55
1994,Chickenpox,40416,237.62
1995,Chickenpox,41087,239.2
1996,Chickenpox,20077,122.9
1997,Chickenpox,28866,174.64
1998,Chickenpox,32024,190.54
1999,Chickenpox,24509,144.25
2000,Chickenpox,34866,202.61
2001,Chickenpox,17515,106.39
2002,Chickenpox,19761,118.12
2003,Chickenpox,17572,103.75
2004,Chickenpox,1734,10.12
2005,Chickenpox,1750,10.08
2006,Chickenpox,1041,5.92
2007,Chickenpox,870,4.89
2008,Chickenpox,1138,6.33
2009,Chickenpox,933,18.08
2010,Chickenpox,1511,28.92
2011,Chickenpox,681,3.67
2012,Chickenpox,355,1.89
2013,Chickenpox,456,2.4
2014,Chickenpox,719,3.74
2015,Chickenpox,695,3.68
2016,Chickenpox,568,2.97
2017,Chickenpox,311,1.61
2018,Chickenpox,338,1.72
2019,Chickenpox,453,2.27
2020,Chickenpox,207,1.02
2021,Chickenpox,244,1.13
1924,Cholera,,
1925,Cholera,,
1926,Cholera,,
1927,Cholera,,
1928,Cholera,,
1929,Cholera,,
1930,Cholera,0,0
1931,Cholera,0,0
1932,Cholera,0,0
1933,Cholera,0,0
1934,Cholera,0,0
1935,Cholera,0,0
1936,Cholera,0,0
1937,Cholera,0,0
1938,Cholera,0,0
1939,Cholera,0,0
1940,Cholera,0,0
1941,Cholera,0,0
1942,Cholera,0,0
1943,Cholera,0,0
1944,Cholera,0,0
1945,Cholera,0,0
1946,Cholera,0,0
1947,Cholera,0,0
1948,Cholera,0,0
1949,Cholera,0,0
1950,Cholera,0,0
1951,Cholera,0,0
1952,Cholera,0,0
1953,Cholera,0,0
1954,Cholera,0,0
1955,Cholera,0,0
1956,Cholera,0,0
1957,Cholera,0,0
1958,Cholera,0,0
1959,Cholera,0,0
1960,Cholera,0,0
1961,Cholera,0,0
1962,Cholera,0,0
1963,Cholera,0,0
1964,Cholera,0,0
1965,Cholera,0,0
1966,Cholera,0,0
1967,Cholera,0,0
1968,Cholera,0,0
1969,Cholera,0,0
1970,Cholera,0,0
1971,Cholera,0,0
1972,Cholera,0,0
1973,Cholera,0,0
1974,Cholera,1,0.004
1975,Cholera,0,0
1976,Cholera,0,0
1977,Cholera,1,0.004
1978,Cholera,0,0
1979,Cholera,0,0
1980,Cholera,3,0.01
1981,Cholera,0,0
1982,Cholera,0,0
1983,Cholera,2,0.01
1984,Cholera,0,0
1985,Cholera,0,0
1986,Cholera,1,0.004
1987,Cholera,1,0.004
1988,Cholera,1,0.004
1989,Cholera,2,0.01
1990,Cholera,1,0.004
1991,Cholera,4,0.01
1992,Cholera,6,0.02
1993,Cholera,9,0.03
1994,Cholera,3,0.01
1995,Cholera,8,0.03
1996,Cholera,2,0.01
1997,Cholera,1,0.003
1998,Cholera,4,0.01
1999,Cholera,3,0.01
2000,Cholera,5,0.02
2001,Cholera,5,0.02
2002,Cholera,6,0.02
2003,Cholera,5,0.02
2004,Cholera,3,0.01
2005,Cholera,8,0.02
2006,Cholera,3,0.01
2007,Cholera,4,0.01
2008,Cholera,4,0.01
2009,Cholera,3,0.01
2010,Cholera,4,0.01
2011,Cholera,11,0.03
2012,Cholera,1,0.003
2013,Cholera,1,0.003
2014,Cholera,4,0.01
2015,Cholera,3,0.01
2016,Cholera,0,0
2017,Cholera,5,0.01
2018,Cholera,0,0
2019,Cholera,4,0.01
2020,Cholera,1,0.003
2021,Cholera,2,0.01
1924,Diphtheria,9057,100.13
1925,Diphtheria,7244,78.77
1926,Diphtheria,7175,76.72
1927,Diphtheria,8501,89.14
1928,Diphtheria,8781,90.21
1929,Diphtheria,9010,89.96
1930,Diphtheria,8036,78.82
1931,Diphtheria,5914,57.07
1932,Diphtheria,3912,37.27
1933,Diphtheria,2377,22.38
1934,Diphtheria,2267,21.13
1935,Diphtheria,1999,18.46
1936,Diphtheria,2031,18.58
1937,Diphtheria,2945,26.7
1938,Diphtheria,3676,33.01
1939,Diphtheria,2897,25.75
1940,Diphtheria,2335,20.55
1941,Diphtheria,2866,24.94
1942,Diphtheria,2955,25.39
1943,Diphtheria,2804,23.81
1944,Diphtheria,3223,27.02
1945,Diphtheria,2786,23.11
1946,Diphtheria,2535,20.66
1947,Diphtheria,1550,12.37
1948,Diphtheria,898,7.02
1949,Diphtheria,806,6
1950,Diphtheria,421,3.08
1951,Diphtheria,253,1.81
1952,Diphtheria,190,1.32
1953,Diphtheria,132,0.89
1954,Diphtheria,208,1.36
1955,Diphtheria,139,0.89
1956,Diphtheria,135,0.84
1957,Diphtheria,142,0.86
1958,Diphtheria,66,0.39
1959,Diphtheria,38,0.22
1960,Diphtheria,55,0.31
1961,Diphtheria,91,0.5
1962,Diphtheria,71,0.38
1963,Diphtheria,75,0.4
1964,Diphtheria,23,0.12
1965,Diphtheria,51,0.26
1966,Diphtheria,38,0.19
1967,Diphtheria,41,0.2
1968,Diphtheria,61,0.29
1969,Diphtheria,48,0.23
1970,Diphtheria,47,0.22
1971,Diphtheria,75,0.34
1972,Diphtheria,68,0.31
1973,Diphtheria,169,0.75
1974,Diphtheria,173,0.76
1975,Diphtheria,103,0.45
1976,Diphtheria,109,0.46
1977,Diphtheria,124,0.52
1978,Diphtheria,119,0.5
1979,Diphtheria,84,0.35
1980,Diphtheria,55,0.22
1981,Diphtheria,7,0.03
1982,Diphtheria,11,0.04
1983,Diphtheria,11,0.04
1984,Diphtheria,8,0.03
1985,Diphtheria,9,0.03
1986,Diphtheria,6,0.02
1987,Diphtheria,4,0.02
1988,Diphtheria,4,0.01
1989,Diphtheria,9,0.03
1990,Diphtheria,7,0.03
1991,Diphtheria,5,0.02
1992,Diphtheria,1,0.004
1993,Diphtheria,1,0.003
1994,Diphtheria,3,0.01
1995,Diphtheria,2,0.01
1996,Diphtheria,0,0
1997,Diphtheria,1,0.003
1998,Diphtheria,0,0
1999,Diphtheria,1,0.003
2000,Diphtheria,0,0
2001,Diphtheria,0,0
2002,Diphtheria,1,0.003
2003,Diphtheria,1,0.003
2004,Diphtheria,0,0
2005,Diphtheria,0,0
2006,Diphtheria,0,0
2007,Diphtheria,3,0.01
2008,Diphtheria,2,0.01
2009,Diphtheria,2,0.01
2010,Diphtheria,2,0.01
2011,Diphtheria,1,0.003
2012,Diphtheria,0,0
2013,Diphtheria,0,0
2014,Diphtheria,2,0.01
2015,Diphtheria,2,0.01
2016,Diphtheria,1,0.003
2017,Diphtheria,10,0.03
2018,Diphtheria,9,0.02
2019,Diphtheria,3,0.01
2020,Diphtheria,2,0.01
2021,Diphtheria,2,0.01
1924,Giardiasis,,
1925,Giardiasis,,
1926,Giardiasis,,
1927,Giardiasis,,
1928,Giardiasis,,
1929,Giardiasis,,
1930,Giardiasis,,
1931,Giardiasis,,
1932,Giardiasis,,
1933,Giardiasis,,
1934,Giardiasis,,
1935,Giardiasis,,
1936,Giardiasis,,
1937,Giardiasis,,
1938,Giardiasis,,
1939,Giardiasis,,
1940,Giardiasis,,
1941,Giardiasis,,
1942,Giardiasis,,
1943,Giardiasis,,
1944,Giardiasis,,
1945,Giardiasis,,
1946,Giardiasis,,
1947,Giardiasis,,
1948,Giardiasis,,
1949,Giardiasis,,
1950,Giardiasis,,
1951,Giardiasis,,
1952,Giardiasis,,
1953,Giardiasis,,
1954,Giardiasis,,
1955,Giardiasis,,
1956,Giardiasis,,
1957,Giardiasis,,
1958,Giardiasis,,
1959,Giardiasis,,
1960,Giardiasis,,
1961,Giardiasis,,
1962,Giardiasis,,
1963,Giardiasis,,
1964,Giardiasis,,
1965,Giardiasis,,
1966,Giardiasis,,
1967,Giardiasis,,
1968,Giardiasis,,
1969,Giardiasis,,
1970,Giardiasis,,
1971,Giardiasis,,
1972,Giardiasis,,
1973,Giardiasis,,
1974,Giardiasis,,
1975,Giardiasis,,
1976,Giardiasis,,
1977,Giardiasis,,
1978,Giardiasis,,
1979,Giardiasis,,
1980,Giardiasis,,
1981,Giardiasis,,
1982,Giardiasis,,
1983,Giardiasis,4563,17.99
1984,Giardiasis,6769,26.43
1985,Giardiasis,8640,33.43
1986,Giardiasis,9986,38.26
1987,Giardiasis,10518,39.77
1988,Giardiasis,10437,38.96
1989,Giardiasis,14140,51.84
1990,Giardiasis,9573,36.01
1991,Giardiasis,8017,29.77
1992,Giardiasis,7425,27.24
1993,Giardiasis,6891,25
1994,Giardiasis,6372,22.86
1995,Giardiasis,6041,21.44
1996,Giardiasis,5939,20.86
1997,Giardiasis,5536,18.51
1998,Giardiasis,5429,18
1999,Giardiasis,5252,17.28
2000,Giardiasis,5071,16.53
2001,Giardiasis,4850,15.63
2002,Giardiasis,4593,14.65
2003,Giardiasis,4231,13.37
2004,Giardiasis,4178,13.08
2005,Giardiasis,4264,13.22
2006,Giardiasis,4143,12.72
2007,Giardiasis,4208,12.79
2008,Giardiasis,4231,12.73
2009,Giardiasis,3864,11.49
2010,Giardiasis,3962,11.65
2011,Giardiasis,3839,11.18
2012,Giardiasis,3895,11.22
2013,Giardiasis,3806,10.85
2014,Giardiasis,3670,10.36
2015,Giardiasis,3754,10.51
2016,Giardiasis,3857,10.68
2017,Giardiasis,3688,10.09
2018,Giardiasis,3928,10.6
2019,Giardiasis,3930,10.45
2020,Giardiasis,2449,6.44
2021,Giardiasis,2320,6.07
1924,Gonorrhea,754,24.65
1925,Gonorrhea,,
1926,Gonorrhea,,
1927,Gonorrhea,1762,47.19
1928,Gonorrhea,2064,54.42
1929,Gonorrhea,2335,60.67
1930,Gonorrhea,2549,65.36
1931,Gonorrhea,2842,46.64
1932,Gonorrhea,2908,47.22
1933,Gonorrhea,2492,40.05
1934,Gonorrhea,2212,35.25
1935,Gonorrhea,2631,41.59
1936,Gonorrhea,2593,40.65
1937,Gonorrhea,3575,55.74
1938,Gonorrhea,4280,59.63
1939,Gonorrhea,4413,55.02
1940,Gonorrhea,4935,61.03
1941,Gonorrhea,5766,70.68
1942,Gonorrhea,7588,92.01
1943,Gonorrhea,9441,113.46
1944,Gonorrhea,22282,186.79
1945,Gonorrhea,25237,209.35
1946,Gonorrhea,26286,214.26
1947,Gonorrhea,21764,173.74
1948,Gonorrhea,18547,144.91
1949,Gonorrhea,17439,129.92
1950,Gonorrhea,16106,117.67
1951,Gonorrhea,14341,102.55
1952,Gonorrhea,14416,99.88
1953,Gonorrhea,15503,104.61
1954,Gonorrhea,15472,101.39
1955,Gonorrhea,14300,91.26
1956,Gonorrhea,14547,90.57
1957,Gonorrhea,14314,86.28
1958,Gonorrhea,15010,87.98
1959,Gonorrhea,14826,84.8
1960,Gonorrhea,15661,87.64
1961,Gonorrhea,16460,90.25
1962,Gonorrhea,17697,95.23
1963,Gonorrhea,19404,102.5
1964,Gonorrhea,20628,106.93
1965,Gonorrhea,20453,104.12
1966,Gonorrhea,21479,107.32
1967,Gonorrhea,22601,110.91
1968,Gonorrhea,22520,108.79
1969,Gonorrhea,27164,129.35
1970,Gonorrhea,31544,148.11
1971,Gonorrhea,34405,156.66
1972,Gonorrhea,41467,186.63
1973,Gonorrhea,45329,201.54
1974,Gonorrhea,47680,209.05
1975,Gonorrhea,50752,219.29
1976,Gonorrhea,52262,222.87
1977,Gonorrhea,51233,215.94
1978,Gonorrhea,48751,203.44
