cause,cause_corrected,synonym,nesting_cause
found.dead,Found Dead,Found Dead,all
Found dead [...],Found Dead,Found Dead,all
Fracture,Fracture,Fractured,Violence Privation Cold And Intemperance
Fracture in the nose,Fracture In The Nose,Fracture In The Nose,Fractured
Fractured,Fractured,Fractured,Violence Privation Cold And Intemperance
fractured.leg,Fractured Leg,Fractured Leg,Fractured
fractured.skull,Fractured Skull,Fractured Skull,Fractured
fractures,Fractures,Fractured,Violence Privation Cold And Intemperance
french.pox,French Pox,French Pox,all
French pox,French Pox,French Pox,all
French-pox,French-Pox,French Pox,all
frensie,Frensie,Frenzy,all
Frensie,Frensie,Frenzy,all
Frenzy,Frenzy,Frenzy,all
Frets,Frets,Frets,all
frighted,Frighted,Frighted,all
Frighted,Frighted,Frighted,all
Frightened,Frightened,Frighted,all
Frozen [...],Frozen,Frozen,all
frozen.to.death,Frozen To Death,Frozen,all
gangrene,Gangrene,Gangrene,all
Gangrene,Gangrene,Gangrene,all
gastritis,Gastritis,Gastritis,Diseases Of The Stomach Liver And Other Organs Of Digestion
gastritis.and.enteritis,Gastritis And Enteritis,Gastritis And Enteritis,Diseases Of The Stomach Liver And Other Organs Of Digestion
gastritis.and.enteritis.except.of.newborn,Gastritis And Enteritis Except Of Newborn,Gastritis And Enteritis Except Of Newborn,Diseases Of The Stomach Liver And Other Organs Of Digestion
glanders,Glanders,Glanders,all
goal.distemper,Goal Distemper,Jail Distemper,all
Goal Distermper,Goal Distermper,Jail Distemper,all
Goared [...],Goared,Goared,all
goared.by.an.ox,Goared By An Ox,Goared,all
Goat Distermper,Goat Distermper,Jail Distemper,all
Gored [...],Gored,Goared,all
gout,Gout,Gout,all
Gout,Gout,Gout,all
gouts,Gouts,Gout,all
Gowt,Gowt,Gout,all
gravel,Gravel,Gravel,all
Gravel,Gravel,Gravel,all
"Gravel, Stone and Strangury","Gravel, Stone And Strangury","Gravel, Stone And Strangury",all
Great Cold,Great Cold,Great Cold,all
great.cold.,Great Cold,Great Cold,all
green.sickness,Green Sickness,Green Sickness,all
Green Sickness,Green Sickness,Green Sickness,all
grief,Grief,Grief,all
Grief,Grief,Grief,all
Gripes,Gripes,Gripes,all
griping.in.guts,Griping In Guts,Griping In The Guts,all
Griping in the Guts,Griping In The Guts,Griping In The Guts,all
Guut,Guut,Gout,all
haemorrhage,Haemorrhage,Hemmorrhage,Dropsy Cancer And Other Diseases Of Uncertain Or Variable Seat
Haemorrhage,Haemorrhage,Hemmorrhage,Dropsy Cancer And Other Diseases Of Uncertain Or Variable Seat
hanged,Hanged,Hanged,all
Hanged [...],Hanged,Hanged,all
hanging.and.suffocation,Hanging And Suffocation,Hanging And Suffocation,Violence Privation Cold And Intemperance
hanging.suffocation,Hanging Suffocation,Hanging Suffocation,Violence Privation Cold And Intemperance
head.ache,Head Ache,Headache,all
head.mould.shot,Head Mould Shot,Headmouldshot,all
Head-mould-shot,Head-Mould-Shot,Headmouldshot,all
Headache,Headache,Headache,all
Headmouldshot,Headmouldshot,Headmouldshot,all
"Headmouldshot, Horseshoehead and Water in the Head","Headmouldshot, Horseshoehead And Water In The Head","Headmouldshot, Horseshoehead And Water In The Head",all
heart.disease,Heart Disease,Heart Disease,all
heart.disease.&.c,Heart Disease & C,Heart Disease,all
heart.disease.etc,Heart Disease Etc,Heart Disease Etc,all
heart.overgrown,Heart Overgrown,Heart Overgrown,all
Heart overgrown,Heart Overgrown,Heart Overgrown,all
"Heart, diseased","Heart, Diseased",Herat Disease,all
"Heart, diseases of","Heart, Diseases Of",Heart Disease,all
hectic.fever,Hectic Fever,Hectic Fever,all
Hectic Fever,Hectic Fever,Hectic Fever,all
hemmorrhage,Hemmorrhage,Hemmorrhage,all
